Hours_Studied,Attendance,Family_Income,Parental_Education_Level,Exam_Score,Family_Income_Score,Distance_Score,Activity_Hours,Weekly_Commute_Hours,Study_Variance,External_Load,Is_Critical,Risk_Score
18,94,Medium,High School,71,2,0.5,12,5,-2,17,False,11.5
22,65,Medium,Postgraduate,66,2,0.5,0,5,2,5,False,20.0
26,91,Low,High School,68,1,1.0,12,10,6,22,False,31.0
17,87,High,Postgraduate,70,3,0.5,0,5,-3,5,False,6.0
19,65,Low,High School,62,1,1.0,12,10,-1,22,False,57.0
13,88,Low,Postgraduate,68,1,2.0,12,15,-7,27,True,39.0
13,78,Low,College,67,1,1.0,12,10,-7,22,False,44.0
25,98,Medium,Postgraduate,71,2,0.5,12,5,5,17,False,9.5
28,66,Medium,High School,68,2,0.5,12,5,8,17,False,25.5
20,86,Low,Postgraduate,69,1,0.5,12,5,0,17,False,31.0
26,75,Medium,High School,70,2,1.0,12,10,6,22,False,23.5
22,98,Low,High School,69,1,1.0,0,10,2,10,False,12.0
16,73,Low,College,65,1,0.5,0,5,-4,5,False,32.0
22,98,Medium,College,70,2,0.5,12,5,2,17,False,9.5
29,96,Low,High School,71,1,1.0,12,10,9,22,False,26.0
20,71,Low,College,65,1,0.5,12,5,0,17,False,46.0
29,92,Medium,Postgraduate,72,2,0.5,0,5,9,5,False,6.5
4,100,Medium,College,69,2,1.0,12,10,-16,22,False,11.0
25,70,Medium,Postgraduate,66,2,0.5,0,5,5,5,False,17.5
21,77,Medium,Postgraduate,68,2,1.0,12,10,1,22,False,22.5
18,81,Medium,High School,65,2,1.0,12,10,-2,22,False,20.5
21,72,High,College,64,3,1.0,12,10,1,22,False,16.666666666666668
8,61,High,College,60,3,0.5,12,5,-12,17,False,18.666666666666668
19,69,Low,High School,65,1,0.5,12,5,-1,17,False,48.0
22,71,Low,High School,66,1,0.5,0,5,2,5,False,34.0
29,78,Medium,College,74,2,0.5,12,5,9,17,False,19.5
17,67,Medium,High School,62,2,2.0,12,15,-3,27,True,30.0
15,95,Low,College,70,1,1.0,0,10,-5,10,False,15.0
17,88,Medium,High School,69,2,0.5,12,5,-3,17,False,14.5
25,63,Medium,College,67,2,2.0,12,15,5,27,True,32.0
22,86,Medium,High School,64,2,1.0,0,10,2,10,False,12.0
17,86,High,College,71,3,0.5,0,5,-3,5,False,6.333333333333333
23,98,Medium,College,68,2,0.5,12,5,3,17,False,9.5
21,60,Medium,College,64,2,0.5,0,5,1,5,False,22.5
26,70,Medium,High School,63,2,2.0,12,15,6,27,True,28.5
16,97,High,College,71,3,0.5,12,5,-4,17,False,6.666666666666667
18,97,Low,High School,69,1,1.0,12,10,-2,22,False,25.0
18,89,High,College,100,3,0.5,12,5,-2,17,False,9.333333333333334
11,91,Medium,College,68,2,1.0,0,10,-9,10,False,9.5
22,64,Medium,High School,62,2,0.5,0,5,2,5,False,20.5
22,81,Medium,Postgraduate,68,2,2.0,12,15,2,27,True,23.0
20,69,Low,High School,66,1,2.0,12,15,0,27,True,58.0
19,67,Medium,College,64,2,0.5,0,5,-1,5,False,19.0
12,92,Medium,High School,67,2,1.0,0,10,-8,10,False,9.0
17,65,High,Postgraduate,65,3,1.0,12,10,-3,22,False,19.0
18,79,Low,College,65,1,2.0,12,15,-2,27,True,48.0
15,98,Low,College,69,1,0.5,0,5,-5,5,False,7.0
19,67,Low,High School,63,1,0.5,0,5,-1,5,False,38.0
22,99,Medium,Postgraduate,72,2,1.0,12,10,2,22,False,11.5
31,100,High,Postgraduate,76,3,1.0,0,10,11,10,False,3.3333333333333335
21,82,Low,College,69,1,0.5,12,5,1,17,False,35.0
22,67,Low,Postgraduate,67,1,1.0,12,10,2,22,False,55.0
20,73,Medium,College,69,2,0.5,12,5,0,17,False,22.0
8,77,Low,High School,63,1,1.0,12,10,-12,22,False,45.0
20,72,Low,Postgraduate,67,1,0.5,0,5,0,5,False,33.0
20,71,Medium,College,66,2,0.5,12,5,0,17,False,23.0
35,99,Medium,Postgraduate,79,2,0.5,12,5,15,17,False,9.0
19,66,High,High School,64,3,0.5,0,5,-1,5,False,13.0
22,89,High,High School,73,3,0.5,12,5,2,17,False,9.333333333333334
20,60,Low,High School,63,1,0.5,0,5,0,5,False,45.0
13,84,Low,High School,65,1,0.5,0,5,-7,5,False,21.0
27,97,High,High School,73,3,0.5,12,5,7,17,False,6.666666666666667
25,72,Low,College,70,1,1.0,12,10,5,22,False,50.0
25,67,Low,High School,68,1,0.5,0,5,5,5,False,38.0
15,86,Medium,College,65,2,0.5,12,5,-5,17,False,15.5
28,89,Low,College,71,1,1.0,12,10,8,22,False,33.0
12,88,Medium,College,64,2,2.0,0,15,-8,15,False,13.5
24,73,High,College,68,3,1.0,12,10,4,22,False,16.333333333333332
33,70,Low,College,69,1,0.5,12,5,13,17,False,47.0
14,98,Medium,College,69,2,1.0,0,10,-6,10,False,6.0
21,78,High,College,67,3,0.5,12,5,1,17,False,13.0
17,94,Medium,High School,68,2,2.0,12,15,-3,27,True,16.5
11,78,Low,Postgraduate,64,1,0.5,12,5,-9,17,False,39.0
20,77,Low,High School,66,1,0.5,0,5,0,5,False,28.0
14,66,Low,High School,63,1,0.5,0,5,-6,5,False,39.0
23,77,Low,High School,66,1,1.0,12,10,3,22,False,45.0
14,81,Low,Postgraduate,66,1,0.5,0,5,-6,5,False,24.0
29,61,Low,College,67,1,0.5,12,5,9,17,False,56.0
15,78,Low,High School,65,1,0.5,0,5,-5,5,False,27.0
18,91,Medium,High School,68,2,0.5,12,5,-2,17,False,13.0
25,87,Low,High School,68,1,0.5,0,5,5,5,False,18.0
13,85,High,High School,65,3,0.5,0,5,-7,5,False,6.666666666666667
21,96,Medium,College,71,2,0.5,0,5,1,5,False,4.5
28,61,Low,Postgraduate,65,1,2.0,0,15,8,15,False,54.0
10,82,Low,Postgraduate,64,1,0.5,0,5,-10,5,False,23.0
21,91,High,Postgraduate,72,3,0.5,0,5,1,5,False,4.666666666666667
22,82,Low,High School,65,1,0.5,0,5,2,5,False,23.0
25,73,Low,Postgraduate,66,1,0.5,0,5,5,5,False,32.0
13,65,Low,High School,61,1,0.5,0,5,-7,5,False,40.0
12,96,Medium,College,68,2,0.5,12,5,-8,17,False,10.5
23,79,Medium,Postgraduate,69,2,1.0,12,10,3,22,False,21.5
22,95,Low,College,72,1,0.5,12,5,2,17,False,22.0
22,83,Low,Postgraduate,71,1,0.5,12,5,2,17,False,34.0
22,87,Low,High School,70,1,0.5,0,5,2,5,False,18.0
16,92,Low,High School,68,1,1.0,12,10,-4,22,False,30.0
21,86,Low,High School,67,1,1.0,12,10,1,22,False,36.0
22,76,Low,High School,68,1,0.5,12,5,2,17,False,41.0
16,81,Medium,Postgraduate,68,2,0.5,12,5,-4,17,False,18.0
31,92,Medium,High School,72,2,2.0,12,15,11,27,True,17.5
23,75,Medium,College,65,2,0.5,0,5,3,5,False,15.0
13,76,Medium,High School,66,2,0.5,0,5,-7,5,False,14.5
24,64,Low,High School,65,1,0.5,12,5,4,17,False,53.0
14,97,Medium,College,67,2,0.5,12,5,-6,17,False,10.0
25,64,Medium,College,66,2,2.0,0,15,5,15,False,25.5
27,86,Medium,High School,69,2,2.0,0,15,7,15,False,14.5
15,77,High,College,66,3,1.0,12,10,-5,22,False,15.0
26,76,High,High School,69,3,0.5,12,5,6,17,False,13.666666666666666
22,87,Low,High School,67,1,0.5,12,5,2,17,False,30.0
25,63,Medium,High School,66,2,0.5,12,5,5,17,False,27.0
31,84,Low,College,71,1,2.0,12,15,11,27,True,43.0
19,91,Medium,College,70,2,1.0,0,10,-1,10,False,9.5
15,93,Medium,Postgraduate,71,2,0.5,0,5,-5,5,False,6.0
15,67,High,Postgraduate,66,3,0.5,12,5,-5,17,False,16.666666666666668
15,96,Medium,High School,67,2,0.5,0,5,-5,5,False,4.5
20,86,Medium,College,66,2,2.0,0,15,0,15,False,14.5
22,95,Low,Postgraduate,72,1,0.5,0,5,2,5,False,10.0
22,79,Medium,High School,68,2,0.5,0,5,2,5,False,13.0
25,82,Low,High School,69,1,0.5,0,5,5,5,False,23.0
20,97,Low,Postgraduate,71,1,0.5,12,5,0,17,False,20.0
29,96,Medium,Postgraduate,70,2,2.0,12,15,9,27,True,15.5
18,78,High,College,67,3,2.0,0,15,-2,15,False,12.333333333333334
36,71,High,High School,69,3,2.0,12,15,16,27,True,18.666666666666668
24,76,Medium,High School,65,2,1.0,0,10,4,10,False,17.0
15,76,Low,College,65,1,0.5,0,5,-5,5,False,29.0
14,71,Medium,High School,64,2,0.5,12,5,-6,17,False,23.0
23,71,Low,College,63,1,0.5,12,5,3,17,False,46.0
19,94,Low,High School,69,1,1.0,12,10,-1,22,False,28.0
24,63,Low,College,64,1,0.5,12,5,4,17,False,54.0
23,87,High,High School,72,3,1.0,12,10,3,22,False,11.666666666666666
20,67,Medium,High School,63,2,0.5,12,5,0,17,False,25.0
15,74,Low,High School,64,1,0.5,12,5,-5,17,False,43.0
11,62,High,College,64,3,1.0,12,10,-9,22,False,20.0
17,71,Medium,Postgraduate,67,2,2.0,12,15,-3,27,True,28.0
25,91,Medium,Postgraduate,71,2,0.5,0,5,5,5,False,7.0
21,95,Medium,High School,70,2,0.5,0,5,1,5,False,5.0
13,69,High,High School,61,3,2.0,12,15,-7,27,True,19.333333333333332
21,79,Low,College,67,1,1.0,12,10,1,22,False,43.0
22,79,High,College,72,3,0.5,0,5,2,5,False,8.666666666666666
15,95,Low,High School,66,1,0.5,12,5,-5,17,False,22.0
21,91,High,High School,70,3,0.5,12,5,1,17,False,8.666666666666666
20,81,Medium,High School,67,2,0.5,12,5,0,17,False,18.0
13,87,Medium,High School,67,2,1.0,12,10,-7,22,False,17.5
22,94,High,College,71,3,0.5,12,5,2,17,False,7.666666666666667
23,60,Low,College,66,1,0.5,12,5,3,17,False,57.0
26,76,Medium,High School,68,2,0.5,12,5,6,17,False,20.5
26,96,High,College,74,3,0.5,12,5,6,17,False,7.0
12,90,High,High School,64,3,0.5,12,5,-8,17,False,9.0
14,82,Low,College,65,1,0.5,0,5,-6,5,False,23.0
23,81,Low,College,66,1,0.5,12,5,3,17,False,36.0
23,74,Medium,High School,66,2,0.5,12,5,3,17,False,21.5
23,81,Medium,High School,68,2,0.5,0,5,3,5,False,12.0
43,86,Medium,High School,78,2,0.5,12,5,23,17,False,15.5
23,77,Medium,High School,67,2,1.0,12,10,3,22,False,22.5
27,89,Medium,High School,74,2,0.5,12,5,7,17,False,14.0
26,94,Low,Postgraduate,74,1,0.5,0,5,6,5,False,11.0
24,66,Medium,High School,62,2,0.5,0,5,4,5,False,19.5
18,78,Medium,High School,66,2,2.0,12,15,-2,27,True,24.5
25,76,Medium,High School,69,2,2.0,12,15,5,27,True,25.5
15,87,Low,College,68,1,0.5,12,5,-5,17,False,30.0
19,70,Medium,High School,89,2,1.0,0,10,-1,10,False,20.0
17,86,High,College,66,3,0.5,0,5,-3,5,False,6.333333333333333
20,95,Medium,High School,68,2,0.5,12,5,0,17,False,11.0
34,77,Medium,High School,69,2,0.5,12,5,14,17,False,20.0
9,96,Low,College,67,1,0.5,12,5,-11,17,False,21.0
24,100,Medium,High School,75,2,0.5,12,5,4,17,False,8.5
10,64,Medium,High School,60,2,1.0,0,10,-10,10,False,23.0
17,69,Medium,College,66,2,1.0,12,10,-3,22,False,26.5
27,98,High,College,73,3,0.5,12,5,7,17,False,6.333333333333333
20,98,Medium,High School,68,2,0.5,0,5,0,5,False,3.5
14,64,Medium,High School,62,2,0.5,12,5,-6,17,False,26.5
16,61,Low,High School,62,1,0.5,0,5,-4,5,False,44.0
24,66,Medium,High School,65,2,2.0,12,15,4,27,True,30.5
16,100,Low,High School,69,1,1.0,12,10,-4,22,False,22.0
21,67,Low,High School,64,1,2.0,0,15,1,15,False,48.0
20,80,Low,Postgraduate,67,1,1.0,0,10,0,10,False,30.0
16,94,Low,High School,70,1,0.5,12,5,-4,17,False,23.0
33,61,Medium,College,70,2,0.5,0,5,13,5,False,22.0
24,84,Medium,High School,69,2,0.5,0,5,4,5,False,10.5
8,71,Medium,High School,61,2,0.5,0,5,-12,5,False,17.0
21,94,Medium,Postgraduate,69,2,1.0,0,10,1,10,False,8.0
16,71,Medium,High School,63,2,0.5,12,5,-4,17,False,23.0
25,87,Medium,High School,67,2,0.5,12,5,5,17,False,15.0
19,69,High,High School,66,3,1.0,12,10,-1,22,False,17.666666666666668
23,61,Medium,High School,63,2,0.5,0,5,3,5,False,22.0
25,76,Medium,High School,68,2,1.0,12,10,5,22,False,23.0
13,72,Low,Postgraduate,65,1,0.5,0,5,-7,5,False,33.0
18,92,Medium,High School,67,2,0.5,12,5,-2,17,False,12.5
17,92,Medium,Postgraduate,68,2,0.5,12,5,-3,17,False,12.5
16,78,Low,College,64,1,0.5,0,5,-4,5,False,27.0
31,84,Medium,College,71,2,1.0,0,10,11,10,False,13.0
22,84,Medium,High School,69,2,0.5,12,5,2,17,False,16.5
12,93,Medium,Postgraduate,67,2,1.0,12,10,-8,22,False,14.5
26,77,High,College,65,3,1.0,0,10,6,10,False,11.0
33,71,Medium,High School,68,2,0.5,0,5,13,5,False,17.0
26,71,High,Postgraduate,67,3,1.0,12,10,6,22,False,17.0
11,81,Medium,High School,67,2,0.5,12,5,-9,17,False,18.0
17,78,Low,High School,66,1,0.5,12,5,-3,17,False,39.0
28,78,Medium,College,70,2,1.0,0,10,8,10,False,16.0
16,64,Medium,Postgraduate,65,2,1.0,12,10,-4,22,False,29.0
23,89,Medium,Postgraduate,69,2,0.5,12,5,3,17,False,14.0
25,69,High,High School,65,3,2.0,12,15,5,27,True,19.333333333333332
14,68,High,College,63,3,0.5,0,5,-6,5,False,12.333333333333334
20,77,Low,Postgraduate,67,1,2.0,0,15,0,15,False,38.0
1,69,Low,High School,61,1,0.5,12,5,-19,17,False,48.0
14,83,Medium,High School,65,2,0.5,12,5,-6,17,False,17.0
18,75,Low,College,66,1,0.5,12,5,-2,17,False,42.0
13,78,High,College,66,3,0.5,12,5,-7,17,False,13.0
30,81,High,High School,69,3,0.5,12,5,10,17,False,12.0
11,68,Medium,College,63,2,1.0,0,10,-9,10,False,21.0
17,66,High,Postgraduate,65,3,0.5,0,5,-3,5,False,13.0
21,95,High,High School,67,3,0.5,0,5,1,5,False,3.3333333333333335
29,77,High,High School,69,3,0.5,12,5,9,17,False,13.333333333333334
11,76,Medium,Postgraduate,65,2,0.5,12,5,-9,17,False,20.5
27,61,Low,High School,65,1,1.0,0,10,7,10,False,49.0
20,80,Low,College,65,1,1.0,12,10,0,22,False,42.0
14,82,Low,College,67,1,2.0,12,15,-6,27,True,45.0
21,88,Low,High School,72,1,0.5,0,5,1,5,False,17.0
16,67,Low,College,66,1,0.5,0,5,-4,5,False,38.0
20,70,Medium,College,65,2,2.0,12,15,0,27,True,28.5
18,92,Low,High School,69,1,1.0,12,10,-2,22,False,30.0
21,98,High,High School,68,3,0.5,0,5,1,5,False,2.3333333333333335
24,65,High,Postgraduate,64,3,0.5,0,5,4,5,False,13.333333333333334
30,80,Medium,College,69,2,1.0,0,10,10,10,False,15.0
13,69,High,High School,59,3,1.0,12,10,-7,22,False,17.666666666666668
33,62,Medium,High School,68,2,1.0,12,10,13,22,False,30.0
8,73,High,High School,60,3,0.5,0,5,-12,5,False,10.666666666666666
19,66,High,High School,62,3,2.0,0,15,-1,15,False,16.333333333333332
24,88,Low,College,67,1,0.5,12,5,4,17,False,29.0
22,81,Medium,High School,68,2,2.0,12,15,2,27,True,23.0
16,66,Medium,High School,64,2,1.0,12,10,-4,22,False,28.0
19,60,Low,High School,65,1,1.0,12,10,-1,22,False,62.0
17,92,Medium,High School,65,2,1.0,12,10,-3,22,False,15.0
16,67,Low,High School,63,1,0.5,0,5,-4,5,False,38.0
25,84,Medium,High School,70,2,0.5,12,5,5,17,False,16.5
22,73,Medium,High School,66,2,0.5,12,5,2,17,False,22.0
16,83,High,High School,68,3,0.5,12,5,-4,17,False,11.333333333333334
25,73,Medium,High School,66,2,0.5,0,5,5,5,False,16.0
22,63,Medium,College,63,2,0.5,0,5,2,5,False,21.0
25,69,Low,College,66,1,1.0,12,10,5,22,False,53.0
24,68,Medium,High School,65,2,0.5,12,5,4,17,False,24.5
15,77,Low,Postgraduate,66,1,1.0,12,10,-5,22,False,45.0
17,86,High,College,67,3,1.0,12,10,-3,22,False,12.0
24,71,Low,High School,66,1,0.5,12,5,4,17,False,46.0
24,60,Low,High School,63,1,0.5,0,5,4,5,False,45.0
20,81,Medium,High School,66,2,0.5,12,5,0,17,False,18.0
21,84,High,College,67,3,1.0,0,10,1,10,False,8.666666666666666
28,99,Low,High School,71,1,0.5,12,5,8,17,False,18.0
16,84,Low,High School,67,1,0.5,12,5,-4,17,False,33.0
23,79,High,High School,69,3,1.0,12,10,3,22,False,14.333333333333334
19,83,Low,Postgraduate,67,1,0.5,12,5,-1,17,False,34.0
19,97,Medium,College,72,2,1.0,12,10,-1,22,False,12.5
27,93,Low,High School,70,1,0.5,0,5,7,5,False,12.0
25,73,Low,Postgraduate,67,1,1.0,12,10,5,22,False,49.0
25,69,Low,High School,64,1,2.0,12,15,5,27,True,58.0
28,71,Medium,College,67,2,1.0,0,10,8,10,False,19.5
20,80,Medium,Postgraduate,69,2,0.5,0,5,0,5,False,12.5
18,80,Low,High School,63,1,1.0,0,10,-2,10,False,30.0
22,63,High,College,68,3,0.5,12,5,2,17,False,18.0
19,89,Medium,High School,70,2,0.5,12,5,-1,17,False,14.0
21,92,Medium,College,66,2,1.0,12,10,1,22,False,15.0
24,72,Low,High School,68,1,0.5,0,5,4,5,False,33.0
15,87,Low,College,67,1,0.5,12,5,-5,17,False,30.0
33,77,Low,High School,69,1,2.0,12,15,13,27,True,50.0
14,96,Medium,College,66,2,0.5,12,5,-6,17,False,10.5
13,94,Low,High School,68,1,0.5,12,5,-7,17,False,23.0
27,81,Medium,Postgraduate,69,2,1.0,12,10,7,22,False,20.5
25,88,Medium,Postgraduate,70,2,1.0,12,10,5,22,False,17.0
24,95,Medium,College,74,2,0.5,12,5,4,17,False,11.0
24,80,Low,College,70,1,1.0,12,10,4,22,False,42.0
20,73,Medium,Postgraduate,66,2,1.0,12,10,0,22,False,24.5
15,90,Low,College,69,1,0.5,12,5,-5,17,False,27.0
20,69,Low,Postgraduate,64,1,0.5,0,5,0,5,False,36.0
16,76,Low,High School,62,1,0.5,12,5,-4,17,False,41.0
26,95,Medium,High School,70,2,1.0,0,10,6,10,False,7.5
19,89,Medium,High School,68,2,1.0,12,10,-1,22,False,16.5
15,76,Medium,College,65,2,0.5,12,5,-5,17,False,20.5
18,69,Medium,High School,65,2,1.0,0,10,-2,10,False,20.5
22,74,High,Postgraduate,71,3,1.0,12,10,2,22,False,16.0
17,71,Medium,High School,66,2,0.5,12,5,-3,17,False,23.0
15,67,Low,College,61,1,1.0,0,10,-5,10,False,43.0
21,90,Medium,High School,67,2,0.5,12,5,1,17,False,13.5
21,70,Low,College,65,1,2.0,12,15,1,27,True,57.0
17,78,Low,High School,65,1,0.5,0,5,-3,5,False,27.0
17,75,Low,High School,65,1,1.0,12,10,-3,22,False,47.0
21,99,Medium,High School,73,2,1.0,0,10,1,10,False,5.5
11,76,Medium,College,62,2,0.5,12,5,-9,17,False,20.5
12,63,Medium,College,60,2,1.0,12,10,-8,22,False,29.5
16,64,Medium,College,61,2,1.0,12,10,-4,22,False,29.0
19,84,Low,Postgraduate,67,1,2.0,12,15,-1,27,True,43.0
22,84,Medium,College,70,2,0.5,0,5,2,5,False,10.5
29,77,Medium,College,69,2,0.5,0,5,9,5,False,14.0
25,77,Medium,College,66,2,2.0,12,15,5,27,True,25.0
19,62,Low,College,64,1,1.0,0,10,-1,10,False,48.0
20,81,High,Postgraduate,68,3,1.0,12,10,0,22,False,13.666666666666666
14,80,Low,Postgraduate,67,1,2.0,12,15,-6,27,True,47.0
20,66,Medium,College,64,2,0.5,0,5,0,5,False,19.5
18,64,Low,College,65,1,0.5,12,5,-2,17,False,53.0
22,65,High,Postgraduate,66,3,0.5,12,5,2,17,False,17.333333333333332
23,84,Low,High School,68,1,1.0,12,10,3,22,False,38.0
29,68,Medium,High School,66,2,2.0,12,15,9,27,True,29.5
19,70,Low,High School,63,1,0.5,0,5,-1,5,False,35.0
22,67,Low,High School,63,1,1.0,0,10,2,10,False,43.0
24,98,Medium,College,74,2,2.0,12,15,4,27,True,14.5
18,94,Medium,College,70,2,1.0,12,10,-2,22,False,14.0
21,69,Low,High School,68,1,0.5,12,5,1,17,False,48.0
20,73,Medium,Postgraduate,66,2,1.0,12,10,0,22,False,24.5
21,68,Medium,High School,63,2,2.0,0,15,1,15,False,23.5
15,80,Low,College,67,1,2.0,0,15,-5,15,False,35.0
20,61,Medium,High School,62,2,1.0,0,10,0,10,False,24.5
23,87,Medium,Postgraduate,71,2,1.0,0,10,3,10,False,11.5
29,81,Medium,Postgraduate,72,2,0.5,0,5,9,5,False,12.0
26,96,High,Postgraduate,72,3,0.5,12,5,6,17,False,7.0
33,67,Low,High School,68,1,2.0,12,15,13,27,True,60.0
15,92,Medium,High School,66,2,0.5,12,5,-5,17,False,12.5
25,92,Low,High School,70,1,0.5,0,5,5,5,False,13.0
21,65,Low,Postgraduate,66,1,0.5,12,5,1,17,False,52.0
33,76,High,Postgraduate,72,3,0.5,12,5,13,17,False,13.666666666666666
15,67,High,High School,64,3,1.0,12,10,-5,22,False,18.333333333333332
16,71,Low,Postgraduate,61,1,2.0,0,15,-4,15,False,44.0
7,82,Low,High School,62,1,2.0,12,15,-13,27,True,45.0
17,76,Medium,High School,68,2,0.5,0,5,-3,5,False,14.5
15,98,Medium,High School,68,2,0.5,12,5,-5,17,False,9.5
21,65,Medium,High School,63,2,1.0,0,10,1,10,False,22.5
22,99,Medium,High School,70,2,1.0,12,10,2,22,False,11.5
31,69,Low,Postgraduate,68,1,0.5,12,5,11,17,False,48.0
26,91,Low,High School,72,1,0.5,12,5,6,17,False,26.0
17,74,Low,College,67,1,0.5,12,5,-3,17,False,43.0
15,66,Low,College,61,1,0.5,0,5,-5,5,False,39.0
23,94,Low,Postgraduate,69,1,0.5,0,5,3,5,False,11.0
12,72,Low,High School,61,1,1.0,12,10,-8,22,False,50.0
31,86,Medium,College,75,2,1.0,12,10,11,22,False,18.0
27,83,High,College,68,3,1.0,0,10,7,10,False,9.0
17,79,Medium,High School,65,2,0.5,12,5,-3,17,False,19.0
28,89,Medium,High School,75,2,0.5,12,5,8,17,False,14.0
19,64,Medium,College,64,2,0.5,0,5,-1,5,False,20.5
27,87,Low,High School,70,1,1.0,0,10,7,10,False,23.0
10,96,Medium,High School,67,2,1.0,0,10,-10,10,False,7.0
16,62,Medium,High School,63,2,0.5,12,5,-4,17,False,27.5
20,89,Medium,High School,67,2,2.0,12,15,0,27,True,19.0
17,77,High,College,86,3,0.5,12,5,-3,17,False,13.333333333333334
24,76,Medium,High School,67,2,1.0,0,10,4,10,False,17.0
14,65,High,Postgraduate,63,3,2.0,0,15,-6,15,False,16.666666666666668
19,80,Medium,College,66,2,1.0,0,10,-1,10,False,15.0
23,79,Medium,High School,67,2,0.5,0,5,3,5,False,13.0
24,91,High,College,69,3,0.5,0,5,4,5,False,4.666666666666667
13,70,Medium,Postgraduate,66,2,0.5,0,5,-7,5,False,17.5
11,79,High,High School,64,3,1.0,12,10,-9,22,False,14.333333333333334
28,100,Low,Postgraduate,73,1,0.5,12,5,8,17,False,17.0
22,87,Low,College,66,1,2.0,0,15,2,15,False,28.0
16,94,Low,Postgraduate,68,1,0.5,0,5,-4,5,False,11.0
29,77,Medium,College,70,2,1.0,12,10,9,22,False,22.5
27,62,High,High School,67,3,0.5,12,5,7,17,False,18.333333333333332
20,65,Medium,College,62,2,1.0,0,10,0,10,False,22.5
